time,Pump_rate,base,time_2,diff
1,16761.11674,16761.11674,1,0
2,16761.11674,16761.11674,2,0
3,16761.11674,16761.11674,3,0
4,16761.11674,16761.11674,4,0
5,16761.11674,16761.11674,5,0
6,16761.11674,16761.11674,6,0
7,16761.11674,16761.11674,7,0
8,16761.11674,16761.11674,8,0
9,16761.11674,16761.11674,9,0
10,16761.11674,16761.11674,10,0
11,16761.11674,16761.11674,11,0
12,16761.11674,16761.11674,12,0
13,16761.11674,16761.11674,13,0
14,16761.11674,16761.11674,14,0
15,16761.11674,16761.11674,15,0
16,16761.11674,16761.11674,16,0
17,16761.11674,16761.11674,17,0
18,16761.11674,16761.11674,18,0
19,16761.11674,16761.11674,19,0
20,16761.11674,16761.11674,20,0
21,16761.11674,16761.11674,21,0
22,16761.11674,16761.11674,22,0
23,16761.11674,16761.11674,23,0
24,16761.11674,16761.11674,24,0
25,16761.11674,16761.11674,25,0
26,16761.11674,16761.11674,26,0
27,16761.11674,16761.11674,27,0
28,16761.11674,16761.11674,28,0
29,16761.11674,16761.11674,29,0
30,16761.11674,16761.11674,30,0
31,16761.11674,16761.11674,31,0
32,19045.29149,16761.11674,1.00,2284.17475
33,19045.29149,16761.11674,2.00,2284.17475
34,19045.29149,16761.11674,3.00,2284.17475
35,19045.29149,16761.11674,4.00,2284.17475
36,19045.29149,16761.11674,5.00,2284.17475
37,19045.29149,16761.11674,6.00,2284.17475
38,19045.29149,16761.11674,7.00,2284.17475
39,19045.29149,16761.11674,8.00,2284.17475
40,19045.29149,16761.11674,9.00,2284.17475
41,19045.29149,16761.11674,10.00,2284.17475
42,19045.29149,16761.11674,11.00,2284.17475
43,19045.29149,16761.11674,12.00,2284.17475
44,19045.29149,16761.11674,13.00,2284.17475
45,19045.29149,16761.11674,14.00,2284.17475
46,19045.29149,16761.11674,15.00,2284.17475
47,19045.29149,16761.11674,16.00,2284.17475
48,19045.29149,16761.11674,17.00,2284.17475
